Block Hash: bf83b49ae7f071594a4bd35c22b02dff0cda5cf7a13a78bfa7495cc59d7a65a6
Previous Hash: c1d9a437cfe75a0480bae1eccb9e3d3e9e9c11bfb1df6118e761011d6ae51e4a
Merkle Root: 18b1c79550f3a39b9da24f304afab9ea9f26fd5576311e8b9dab9e77c4ad8435
Random Number: 941572061
Forward Hash: 0
Timestamp: 2023-11-17 11:12:37
Transactions:
- Charlie sends $48 to David
- David sends $19 to Alice
- David sends $28 to Alice
- David sends $49 to Charlie
- David sends $20 to Bob
- Emily sends $12 to Alice
- David sends $25 to Charlie
- Alice sends $14 to Emily
- Bob sends $31 to Emily
- David sends $47 to Bob
==================================================
