Block Hash: c5e33d1adab41d980104434f888a8598c17b4f08c255bc0f00b314c903838168
Previous Hash: 50facf48e52aeee3a675693df6f39faa6a2a677b3068e4d744b681cad0faeff4
Merkle Root: 0daa68ceefe04ba8e32acda5804e6291c60bf5b639f55fbd59a22c40358d6668
Random Number: 954882823
Forward Hash: 0
Timestamp: 2023-11-17 11:13:05
Transactions:
- Alice sends $11 to Emily
- Emily sends $42 to Bob
- David sends $28 to Charlie
- Emily sends $18 to Bob
- Bob sends $24 to Alice
- Charlie sends $19 to Alice
- Bob sends $17 to David
- David sends $38 to Charlie
- Emily sends $23 to Alice
- David sends $29 to Bob
==================================================
