Block Hash: 23d814f8b0dbe91417deba21615751e7c23498b106928f908b0352e0781c445b
Previous Hash: 0348df72bebac2352480ec5d17f142c797450e42108f84e1f22122ffd1ac62d0
Merkle Root: e3a36feaf655d530f5630109a8bb2a3b540cf72e31c2d9d6cd9a1eaecffc3143
Random Number: 704723616
Forward Hash: 0
Timestamp: 2023-11-17 11:12:50
Transactions:
- David sends $42 to Bob
- Bob sends $40 to David
- Alice sends $50 to David
- Alice sends $49 to Emily
- Charlie sends $41 to Alice
- Alice sends $18 to Charlie
- Bob sends $49 to Charlie
- Bob sends $36 to Charlie
- Bob sends $21 to David
- Emily sends $13 to Charlie
==================================================
