Block Hash: 1a5fdea3f4a591ab2e1972ddb68d73fb599aef229aaf208a791bc46562cf9591
Previous Hash: 4e0def19de41d430271f9fed4b26474b48793768d7cfb314dd55af174e0f1e94
Merkle Root: 5660051b08897884f30e12bbddf613ed2b4520e6e86e78433a190b3d00a74939
Random Number: 670490062
Forward Hash: 0
Timestamp: 2023-11-17 11:12:32
Transactions:
- David sends $41 to Charlie
- Alice sends $14 to David
- Charlie sends $46 to Bob
- Charlie sends $31 to David
- Charlie sends $40 to Emily
- Bob sends $20 to Emily
- Emily sends $32 to David
- Emily sends $38 to Bob
- Alice sends $30 to David
- Bob sends $50 to Alice
==================================================
