Block Hash: 03fae6dc63a1598ebd325439cef813d0ddbd57863278c0d14c770cf8fb82e722
Previous Hash: 9d8b4fad3b28b8cbe859ca7b097e3a89930c3b5ed720904799968042d97fbbfd
Merkle Root: 01398eb15758967b31fb15e779dc6c916ae5dbd90905428d99d27c7247ab0fc7
Random Number: 591725385
Forward Hash: 0
Timestamp: 2023-11-17 11:13:06
Transactions:
- David sends $36 to Emily
- Bob sends $27 to Alice
- Emily sends $45 to David
- Emily sends $25 to David
- Charlie sends $13 to Alice
- Alice sends $28 to Charlie
- Bob sends $25 to Alice
- Charlie sends $36 to Bob
- Charlie sends $33 to Alice
- Alice sends $47 to David
==================================================
