Block Hash: e70369b6fb058d2487f6592f640ca3f21afdc990c39d8125368a06968109f1ff
Previous Hash: 43121ab11b480dad518d439159d5d7fc7358760cc803b25b3cfaa223d3f43675
Merkle Root: 5a87b2d73d16d2aa3334565f309cc8083f38b6a60603ab2da7df779ff3116ed3
Random Number: 204480086
Forward Hash: 0
Timestamp: 2023-11-17 11:12:58
Transactions:
- Bob sends $45 to Charlie
- Charlie sends $15 to Emily
- Charlie sends $22 to Emily
- Charlie sends $15 to David
- David sends $36 to Bob
- Charlie sends $40 to Emily
- Emily sends $30 to Bob
- Charlie sends $23 to Bob
- Alice sends $19 to David
- Alice sends $35 to Emily
==================================================
