Block Hash: 5aaaeafd4ca9bc408566725e0a56bcf4c76d236dc04a7b2bf4a25d3a670fb29c
Previous Hash: 55c4ac3c0842f5f62ce7045679f89db9b33610a3cf324b03e7016b4ca2ce15f9
Merkle Root: e1aece5affb6061cb337403f644068e358ab10e40d44dddea58d12cb86142777
Random Number: 520020966
Forward Hash: 0
Timestamp: 2023-11-17 11:13:07
Transactions:
- Bob sends $48 to Emily
- Alice sends $50 to Charlie
- Alice sends $37 to Bob
- David sends $40 to Charlie
- David sends $29 to Alice
- Charlie sends $38 to Bob
- Charlie sends $22 to Alice
- Charlie sends $11 to Alice
- Emily sends $43 to David
- Emily sends $12 to David
==================================================
