Block Hash: e24d2c6c0d6b7e5e36814d3f3465157f8235ed36ecceb6090089fc5f90ed97af
Previous Hash: 21b85d2610d09a0fe1763cd2e0121435b42676d62de7e808188297f0d4dfbdd4
Merkle Root: 70dd955b52341a49f41c725641349a0da6e4bc69c087a71c47ea221a06931fc7
Random Number: 355724394
Forward Hash: 0
Timestamp: 2023-11-17 11:12:38
Transactions:
- Alice sends $26 to David
- Emily sends $48 to Bob
- Charlie sends $15 to Alice
- Bob sends $18 to Alice
- Charlie sends $46 to Emily
- Charlie sends $23 to Alice
- David sends $12 to Alice
- David sends $29 to Emily
- David sends $40 to Alice
- Bob sends $41 to Alice
==================================================
