Block Hash: aab4e9ba73c4e46ccf855cf27f0d529412866ffdc0d03309a975e0895173f669
Previous Hash: c489ccbb5af8c99cd0418993d0cf89b993618da6875b44a2ef460c7bbf968bfe
Merkle Root: af3a53f9939785ce8d1d0e876790356f5fba33277fd7e6986e70c520efaae1c4
Random Number: 608294520
Forward Hash: 0
Timestamp: 2023-11-17 11:12:42
Transactions:
- Bob sends $10 to David
- Alice sends $21 to Bob
- Emily sends $19 to Bob
- Alice sends $40 to Emily
- David sends $30 to Emily
- David sends $23 to Alice
- Emily sends $13 to Charlie
- Charlie sends $12 to Emily
- Alice sends $11 to Charlie
- Alice sends $30 to Bob
==================================================
