Block Hash: 157cfec59c970e427861b3094edc414ed05ffdc044ed22cf1fd95a1c2a0224f7
Previous Hash: f480d3ebba368f88e3d9d35c008ac0d672a2b7184d0051c2e2f76e62e1d206b7
Merkle Root: f94979caa8365ff2a3132bebdaf326692d87be00791646eac3c2edc8cff21c86
Random Number: 167813901
Forward Hash: 0
Timestamp: 2023-11-17 11:12:55
Transactions:
- Alice sends $18 to David
- Bob sends $12 to Alice
- Charlie sends $21 to Emily
- David sends $12 to Bob
- Emily sends $38 to Bob
- Emily sends $31 to Alice
- David sends $47 to Charlie
- Charlie sends $44 to Bob
- Emily sends $18 to Charlie
- Emily sends $11 to Alice
==================================================
