Block Hash: 68d81ec36cd014105e59db0ae923cb594a94999e0ab44e09d00287a8aa8f0b22
Previous Hash: e33d604fffaf8808ceebb42c4403bddbe446572d3f93e0cc6d297422d0883381
Merkle Root: 538bf601cd804fb958e61d94a94c0da3cc0a7320470097477dc5bddd335aa6df
Random Number: 136651865
Forward Hash: 0
Timestamp: 2023-11-17 11:12:59
Transactions:
- Bob sends $24 to Charlie
- David sends $39 to Emily
- David sends $15 to Bob
- Alice sends $14 to Emily
- David sends $38 to Bob
- David sends $27 to Alice
- Alice sends $34 to David
- David sends $40 to Emily
- David sends $22 to Bob
- David sends $24 to Alice
==================================================
