Block Hash: ec4990a813ef1caf282ad5675135ce78f73522ecb009a1b3192352b461ef0231
Previous Hash: 9063f09d615123e3897892f3f7cef517fd3269bc8cdc9ba6905372d176161b1f
Merkle Root: d6802db3322ca3de4d0a937e8f5191f43f5b4104ea035587dec5039ffc1a3350
Random Number: 382334068
Forward Hash: 0
Timestamp: 2023-11-17 11:12:43
Transactions:
- Emily sends $25 to Bob
- David sends $18 to Charlie
- David sends $35 to Alice
- Charlie sends $22 to Emily
- Charlie sends $50 to Emily
- Bob sends $40 to Emily
- Charlie sends $21 to David
- Bob sends $33 to Charlie
- Alice sends $38 to David
- Charlie sends $11 to Alice
==================================================
